Customer_ID,Cluster_Label
1,4
2,4
3,3
4,4
5,4
6,4
7,3
8,4
9,3
10,4
11,3
12,4
13,3
14,4
15,3
16,4
17,3
18,4
19,3
20,4
21,3
22,4
23,3
24,4
25,3
26,4
27,3
28,4
29,3
30,4
31,3
32,4
33,3
34,4
35,3
36,4
37,3
38,4
39,3
40,4
41,0
42,4
43,3
44,4
45,3
46,4
47,0
48,4
49,4
50,4
51,0
52,4
53,4
54,0
55,0
56,0
57,0
58,0
59,4
60,0
61,0
62,4
63,0
64,0
65,0
66,4
67,0
68,0
69,4
70,4
71,0
72,0
73,0
74,0
75,0
76,4
77,0
78,0
79,4
80,0
81,0
82,4
83,0
84,0
85,4
86,0
87,0
88,4
89,4
90,0
91,0
92,4
93,0
94,0
95,4
96,4
97,0
98,4
99,0
100,4
101,4
102,0
103,0
104,4
105,0
106,4
107,0
108,0
109,0
110,0
111,0
112,4
113,1
114,4
115,4
116,4
117,0
118,0
119,0
120,0
121,4
122,1
123,2
124,2
125,1
126,2
127,1
128,2
129,1
130,2
131,1
132,2
133,1
134,2
135,1
136,2
137,1
138,2
139,1
140,2
141,1
142,2
143,1
144,2
145,1
146,2
147,1
148,2
149,1
150,2
151,1
152,2
153,1
154,2
155,1
156,2
157,1
158,2
159,1
160,2
161,0
162,2
163,1
164,2
165,1
166,2
167,1
168,2
169,1
170,2
171,1
172,2
173,1
174,2
175,1
176,2
177,1
178,2
179,1
180,2
181,1
182,2
183,1
184,2
185,1
186,2
187,1
188,2
189,1
190,2
191,1
192,2
193,1
194,2
195,1
196,2
197,1
198,2
199,1
200,2
